BillNo,Itemname,Quantity,Price,CustomerID
1000,Apples,5,8.3,52299
1000,Butter,4,6.06,11752
1000,Eggs,4,2.66,16415
1000,Potatoes,4,8.1,22889
1004,Oranges,2,7.26,52255
1005,Milk,3,5.29,54358
1005,Onions,3,8.75,73266
1005,Cereal,2,6.91,46399
1008,Tomatoes,5,2.62,22590
1008,Potatoes,4,8.4,47387
1008,Cereal,3,8.68,26046
1011,Bananas,3,7.67,20072
1012,Tomatoes,1,8.45,79964
1013,Pasta,5,7.35,83712
1013,Onions,1,7.97,68417
1013,Bread,4,4.94,25656
1013,Bananas,2,3.4,13413
1013,Coffee,4,3.0,71236
1013,Sugar,5,4.93,91572
1013,Potatoes,2,7.12,59237
1013,Oranges,1,6.47,32140
1021,Bananas,2,3.85,63813
1021,Oranges,3,1.13,80292
1021,Potatoes,4,2.58,30570
1024,Chicken,3,9.66,12759
1024,Cereal,1,9.7,29871
1024,Bananas,2,9.94,33260
1027,Cheese,5,9.26,20321
1027,Pasta,1,7.66,99122
1027,Cereal,5,3.98,49195
1027,Onions,4,6.85,72279
1027,Bananas,3,8.84,11113
1027,Chicken,4,8.84,71938
1033,Sugar,4,9.11,72262
1033,Eggs,3,9.14,68313
1035,Onions,4,8.41,64324
1035,Cereal,2,9.48,84568
1035,Cheese,2,7.82,53719
1038,Cereal,1,6.13,32332
1038,Coffee,2,1.96,42831
1038,Bread,5,2.63,63032
1038,Onions,1,8.41,15876
1042,Chicken,4,2.25,37152
1042,Pasta,1,9.13,12550
1044,Eggs,2,9.62,17772
1044,Butter,5,5.32,35384
1044,Bananas,3,9.79,40946
1044,Chicken,1,5.39,54206
1044,Tomatoes,3,8.15,34679
1049,Tea,5,4.91,26139
1049,Bananas,4,8.33,76666
1049,Pasta,3,2.55,63008
1049,Eggs,3,1.37,26307
1049,Cereal,5,3.69,78522
1054,Sugar,1,3.9,86475
1054,Coffee,5,9.93,16469
1056,Apples,4,1.41,42281
1056,Tomatoes,3,4.78,42602
1056,Chicken,4,9.76,46419
1056,Pasta,1,2.04,10504
1056,Bread,5,4.66,50407
1056,Sugar,1,2.81,45015
1056,Potatoes,1,4.43,77640
1063,Yogurt,3,7.41,50919
1063,Butter,5,3.35,73789
1063,Bananas,2,2.67,33668
1066,Milk,5,7.92,45531
1066,Eggs,2,4.5,38643
1066,Sugar,4,3.45,85960
1066,Juice,2,4.14,23412
1066,Tomatoes,1,4.21,30936
1066,Butter,2,8.92,71628
1066,Onions,3,4.99,26627
1073,Coffee,3,1.73,46419
1073,Bananas,5,9.72,34870
1075,Onions,2,2.63,84010
1076,Coffee,1,8.04,65291
1076,Tea,3,1.21,43275
1076,Bananas,1,2.59,74271
1076,Onions,5,2.93,93698
1076,Juice,4,8.6,94737
1076,Pasta,1,6.16,51682
1082,Tea,4,4.78,38405
1082,Juice,1,3.67,62431
1082,Cereal,2,4.88,52194
1082,Butter,4,1.04,53527
1086,Yogurt,4,4.08,53486
1086,Juice,4,1.9,74277
1088,Pasta,1,3.22,55421
1088,Onions,4,7.43,41923
1088,Chicken,1,5.79,58613
1088,Tea,5,5.76,85393
1088,Juice,1,6.98,73544
1088,Potatoes,1,7.5,38536
1088,Sugar,4,4.6,49110
1088,Coffee,1,3.63,43704
1088,Milk,5,1.48,56067
1088,Tomatoes,3,5.24,60271
1088,Apples,2,8.96,98942
1088,Yogurt,3,6.91,83735
1088,Eggs,2,9.53,15639
1101,Pasta,4,9.67,83132
1101,Bread,4,4.05,37686
1101,Apples,2,2.93,32602
1104,Butter,1,6.35,23884
1105,Apples,3,2.4,34539
1106,Tea,2,8.91,46426
1106,Juice,2,2.45,78268
1106,Butter,5,3.82,15290
1109,Eggs,2,4.79,92650
1109,Tomatoes,3,6.68,18579
1111,Milk,4,4.7,41510
1112,Milk,4,2.34,87889
1112,Bananas,2,5.74,61738
1112,Oranges,1,9.41,44262
1115,Bananas,3,4.24,74386
1115,Apples,3,5.42,92961
1115,Yogurt,2,2.87,69611
1115,Sugar,5,8.51,19774
1115,Tomatoes,4,2.25,15870
1120,Bread,1,3.48,61496
1120,Bananas,5,6.6,52267
1120,Potatoes,5,2.48,80925
1120,Tomatoes,2,4.23,43975
1120,Onions,4,9.84,18108
1120,Milk,5,6.32,61567
1120,Oranges,2,6.38,71663
1127,Milk,4,4.9,44222
1127,Yogurt,1,7.74,30621
1127,Oranges,3,4.33,91832
1127,Coffee,1,8.82,88751
1127,Bread,4,6.78,14668
1132,Juice,1,8.0,46523
1132,Tomatoes,5,8.68,40508
1132,Eggs,1,4.49,55506
1132,Potatoes,4,1.46,38011
1132,Bananas,4,8.71,15877
1132,Milk,2,9.79,88999
1132,Butter,5,9.32,54896
1139,Bananas,4,8.37,88784
1140,Onions,4,8.09,76164
1140,Eggs,1,2.38,76637
1140,Juice,5,6.47,76765
1140,Cheese,3,4.69,58046
1144,Cheese,4,4.77,16027
1144,Oranges,3,2.68,97428
1144,Tomatoes,3,9.67,19850
1144,Yogurt,3,1.59,47892
1144,Potatoes,3,8.38,93596
1144,Juice,1,6.12,78128
1144,Sugar,5,9.25,15320
1144,Bananas,4,3.22,81294
1152,Eggs,1,2.92,35115
1153,Tea,1,6.35,90438
1153,Yogurt,4,1.27,37832
1153,Eggs,3,7.78,60088
1153,Butter,3,1.26,69123
1153,Oranges,2,4.2,51604
1153,Bread,5,4.65,67685
1153,Potatoes,3,3.95,85303
1160,Cheese,3,3.11,41003
1160,Sugar,2,1.15,66106
1162,Apples,3,5.15,33323
1162,Tomatoes,4,9.69,79689
1162,Milk,3,4.04,82670
1162,Cheese,5,6.5,83049
1162,Oranges,5,5.32,64821
1162,Yogurt,5,9.53,27125
1162,Tea,4,2.08,85895
1169,Cereal,3,4.9,15378
1170,Cheese,1,6.66,65508
1170,Cereal,4,6.41,76052
1172,Pasta,5,8.03,40800
1172,Bananas,4,5.74,37013
1172,Coffee,2,6.03,52161
1172,Yogurt,4,3.67,36694
1176,Cereal,5,5.84,27433
1176,Butter,5,5.62,67240
1176,Chicken,2,1.12,55304
1176,Juice,1,9.58,83761
1176,Oranges,2,5.45,95259
1176,Potatoes,5,3.09,16844
1176,Tomatoes,1,5.77,92962
1176,Coffee,2,1.28,85903
1176,Bread,2,2.09,93949
1185,Cereal,1,3.71,40205
1186,Juice,1,1.39,78642
1186,Tea,5,4.69,89637
1186,Coffee,4,9.52,60944
1186,Pasta,3,5.76,56291
1190,Onions,1,9.86,83029
1190,Cheese,2,9.28,19153
1190,Tea,2,2.82,68259
1190,Apples,4,4.12,59094
1194,Oranges,5,5.11,21268
1194,Tea,4,1.61,44502
1196,Cereal,1,6.93,13560
1196,Onions,2,7.28,39639
1198,Juice,5,8.22,90037
1198,Cheese,5,4.84,18944
1198,Tea,4,7.51,22764
1198,Cereal,2,3.97,18416
1198,Yogurt,5,6.25,36132
1203,Bananas,3,5.16,97433
1203,Yogurt,4,8.93,59416
1205,Bananas,4,1.33,26004
1205,Sugar,5,4.67,11644
1207,Tomatoes,5,2.48,27619
1207,Chicken,1,4.04,86586
1207,Butter,5,6.42,46249
1207,Potatoes,1,4.01,95462
1211,Tea,4,3.89,41055
1211,Milk,4,9.6,21868
1211,Oranges,4,5.8,63057
1214,Apples,3,4.33,24493
1215,Tomatoes,4,1.64,53364
1215,Sugar,1,7.25,63681
1217,Tomatoes,1,1.49,60600
1217,Cheese,3,8.14,22613
1219,Oranges,2,6.66,29955
1220,Tea,3,7.47,44616
1220,Yogurt,4,4.45,48960
1222,Yogurt,3,6.37,61230
1222,Oranges,2,8.2,59580
1222,Coffee,2,7.25,81556
1225,Yogurt,3,2.65,76946
1226,Juice,1,5.0,35705
1226,Potatoes,1,1.41,60252
1226,Coffee,2,6.09,89472
1226,Tea,1,5.85,51336
1230,Bananas,4,6.58,61198
1231,Sugar,1,7.35,60275
1231,Coffee,4,1.71,81031
1233,Butter,1,6.93,91418
1233,Tea,2,7.82,45811
1235,Butter,2,6.69,11373
1236,Tomatoes,3,4.85,11430
1236,Apples,1,4.53,32905
1236,Bread,3,9.72,52369
1236,Cheese,5,9.83,65941
1236,Sugar,3,7.74,91077
1236,Onions,3,8.11,59255
1242,Potatoes,1,4.93,87130
1243,Cheese,5,9.52,73732
1243,Bananas,2,2.84,25874
1243,Butter,1,5.44,77988
1243,Cereal,5,8.75,30543
1243,Potatoes,1,3.52,48912
